test_id,timestamp,p_true,gamma_true_1,gamma_true_2,gamma_true_3,observed1_1,observed1_2,observed1_3,observed2_1,observed2_2,observed2_3,p1,p2,gamma_est_1,gamma_est_2,gamma_est_3,p_delta,gamma_mae
0,2025-04-19T16:14:27.287448,0.47472221474280396,0.616307286443381,0.7022372371693482,0.7990297734371298,0.6973139513422216,0.6213053841559173,0.5689244127024964,0.7105202268148288,0.6801950963836095,0.5401797428743899,0.39706601915401124,0.4098842700339483,0.5384326268615733,0.5422593504451901,0.5595646735438129,0.012818250879937043,0.1591058820664275
1,2025-04-19T16:14:27.789520,0.8178183326661574,0.5404706237593099,0.6762638000005051,0.7359187681020917,0.9,0.9,0.9,0.9,0.9,0.9,0.7836394644496829,0.8971647134246532,0.5465642843755987,0.5465642891069636,0.5465643039643668,0.1135252489749703,0.10838254521585171
2,2025-04-19T16:14:28.250250,0.5289094578754129,0.7724298702998837,0.7897421082005379,0.7964990976599936,0.6031639752099093,0.6612459706730859,0.6556045249074827,0.6847484331017124,0.6604532438260451,0.5993642593640671,0.41289289874875096,0.41327291210264716,0.542273447789614,0.5453152588947942,0.5528867730088717,0.0003800133538962025,0.23939853215571183
3,2025-04-19T16:14:28.643303,0.6601890944191782,0.603287992275348,0.732510407326446,0.7904779742040281,0.8088112525290713,0.7721058317863091,0.7684936951638665,0.8244619513071869,0.8032258023856632,0.7163049981821178,0.529278714947458,0.5274521101726354,0.54262546486171,0.5446850018915235,0.5531403850964596,0.00182660477482266,0.161941840652043
4,2025-04-19T16:14:29.014997,0.4134934205279723,0.5575800654048135,0.5892246145173072,0.715675655925112,0.7192294471792445,0.7090224574911632,0.589012154249019,0.6889327852548565,0.638583264629203,0.6183708718389518,0.4331252905160064,0.4129475126766451,0.5416920506630827,0.5479879836519187,0.5504943893138279,0.02017777783936131,0.07410197073946782
5,2025-04-19T16:14:29.469795,0.5834897913281604,0.5146118192301989,0.7035938500064771,0.7864049790888388,0.8791250444188579,0.7180020666285424,0.7245174822437948,0.8513323556800062,0.7487832271361398,0.634943267123461,0.5151561526464654,0.4955306347527561,0.5359623221351002,0.5468325096488013,0.5569056534481716,0.01962551789370931,0.13587038963441478
6,2025-04-19T16:14:29.854091,0.3822458001677118,0.5044493749285596,0.577741528891734,0.6696828191487353,0.743127273029669,0.7031717026126965,0.6042385284290711,0.6993453917621116,0.6257137965007116,0.5969174510693444,0.4412715766993354,0.40636755931853036,0.5392167628301046,0.5485119169495418,0.5521004603944353,0.034904017380805064,0.0605264528660124
7,2025-04-19T16:14:30.244313,0.33522464148597314,0.5743193061805318,0.6109226927217668,0.6322359981033546,0.574432788233491,0.5950304066228425,0.5772559725286951,0.6157219345223975,0.5502509426046561,0.5173520894785683,0.35913675263407707,0.343148148549843,0.5385779207094025,0.547321785895869,0.5516253573259756,0.01598860408423408,0.05998431102480206
8,2025-04-19T16:14:30.725520,0.8733395690081096,0.6004154223793599,0.6910059471578802,0.7706826763297684,0.9,0.9,0.8811666572022957,0.9,0.9,0.9,0.791781491217406,0.7333862639972868,0.5461888488335955,0.5461956004640162,0.5462073335478651,0.05839522722011925,0.14117075434051055
9,2025-04-19T16:14:31.352269,0.8685629439480907,0.688003323545163,0.6921239993524029,0.762081301142393,0.9,0.9,0.9,0.9,0.9,0.9,0.7575013354702693,0.7342530424020057,0.546199116811417,0.5461998148949901,0.5462000527376455,0.023248293068263592,0.1678698798653021
10,2025-04-19T16:14:31.938947,0.8683341611163461,0.5391865757812528,0.5692379602030675,0.7157985002706287,0.9,0.9,0.9,0.9,0.9,0.9,0.7376562497546001,0.7952798485008385,0.5465124443381013,0.5465199862443623,0.5465199945889001,0.05762359874623846,0.06644078273242744
11,2025-04-19T16:14:32.406309,0.6839380276647163,0.7218378209752087,0.7260706441633947,0.7759317809798882,0.8408494856587999,0.8188442580948951,0.836556111725734,0.8433866260451578,0.8333648991989874,0.8199519075138072,0.5923070082740365,0.5867887484428953,0.5456968432566537,0.5464901866514913,0.5475568061123631,0.005518259831141181,0.19469880336599452
12,2025-04-19T16:14:32.721541,0.33026558580183446,0.6091934670571812,0.703326689585208,0.7610958815150433,0.6221568588661419,0.5040041506246159,0.46445279630831415,0.5936596032416238,0.5354025741849092,0.45679656987599593,0.31469795256986105,0.31649643025127555,0.5367502975121584,0.5446614614769361,0.554985808541193,0.001798477681414501,0.1457394902090484
13,2025-04-19T16:14:33.092763,0.3703126391998021,0.5328828290455306,0.6696743703409873,0.7118814993557626,0.6649918102364789,0.5784005191611487,0.590875398665192,0.6695811334598402,0.6103562737426284,0.5027987557763836,0.3895146362874085,0.37087210754604993,0.5365326519797994,0.5443359098407522,0.5580983243682273,0.018642528741358577,0.09425715280734641
14,2025-04-19T16:14:33.582788,0.6837982825315778,0.7493849012488939,0.7542477128212808,0.7987068992822763,0.7613004012295193,0.793915419263147,0.8186249299894743,0.8231037286264246,0.8181610337026257,0.7399053273651713,0.5363918485997102,0.5406554480158114,0.5440450608008026,0.5445050348064053,0.5518115132480086,0.004263599416101216,0.22065930149907817
15,2025-04-19T16:14:34.000627,0.7587922695403138,0.5587520013510694,0.6974821195472667,0.7070001520788118,0.9,0.8684751480479701,0.8876076650119366,0.8818005731185965,0.8459529823926897,0.8298399885520081,0.701843989250145,0.6229320042547457,0.5446736679049294,0.5471464411226804,0.548262603181583,0.07891198499539931,0.10771718692265168
16,2025-04-19T16:14:34.386050,0.33412817455102917,0.5673391219976804,0.6568952709984993,0.6909912332959273,0.6781296713876304,0.5530012217357216,0.504645092878879,0.6429026172388224,0.5403726697418849,0.5853020687774463,0.355457089507164,0.36447051471807335,0.5372477266722802,0.5518333135169401,0.5518515464606695,0.009013425210909365,0.09143101321407243
17,2025-04-19T16:14:34.847828,0.579742146666694,0.5074082698317484,0.7470982149182005,0.7560240129694888,0.8506435191877632,0.7093785707162098,0.7240794369694198,0.7857343347789328,0.6874519002205066,0.70038257070487,0.5056742922548412,0.4733694095777094,0.5376675711373147,0.5507856582064758,0.5509094916778446,0.032304882677131774,0.14389545976964505
18,2025-04-19T16:14:35.120056,0.1763954126770958,0.5504554843689068,0.5586746723279825,0.7167702102544138,0.44598838527063994,0.4166444642370379,0.3156012788703449,0.43595251867945384,0.4064279004432552,0.2820021293856542,0.17759475220670773,0.1537700538177847,0.5365243939589406,0.540471621824377,0.5560995913763321,0.023824698388923038,0.06426825326388445
